manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product__styles
D3584,084-355815935-2,7.26,17.0,17.0,30.0,True,95.0,171.0,,Indoor Lighting,Dimond Lighting,Wake Table Lamp,,,,,,,,,,1.0,CHN,,,,,,No,A21 3-Way,,66.0,,,,,"Navy Blue, Clear Crystal",,,No,,,"COMPOSITE, CRYSTAL",1.0,,No,,,,,,,3-Way,,,,,,11.5,18.0,21.0,18.0,,,,,,,,,Transitional
D3588,084-355815933-8,13.4,11.0,21.0,27.0,True,138.0,248.4,,Indoor Lighting,Dimond Lighting,Schooner Cay Table Lamp,,,,,,,,,,1.0,CHN,,,,,,No,A21 3-Way,,66.0,,,,,"Matte White, Clear Crystal",,,No,,,"COMPOSITE, CRYSTAL",1.0,,No,,,,,,,3-Way,,,,,,15.4,25.0,18.0,14.0,,,,,,,,,Transitional
D3591,084-355815955-0,37.0,65.0,13.0,77.0,True,245.0,441.0,,Indoor Lighting,Dimond Lighting,Solar Flair Floor Lamp,,,,,,,,,,1.0,CHN,,,,,,No,A19,,72.0,,,,,"Aged Brass, White Marble",,,No,,,"METAL, MARBLE",1.0,,No,,,,,,,On-Off Foot Switch,,,,,,43.0,17.0,42.0,9.0,,,,,,,,,Modern / Contemporary
D3592,084-355815956-7,32.0,47.0,17.0,75.0,True,213.0,383.4,,Indoor Lighting,Dimond Lighting,Gamma Floor Lamp,,,,,,,,,,2.0,CHN,,,,,,No,A19,,72.0,,,,,"Aged Brass, White Marble",,,No,,,"Metal, Marble",1.0,,No,,,,,,,On-Off Foot Switch,,,,,,4.0,19.0,19.0,10.0,34.0,6.0,44.0,26.0,,,,,Modern / Contemporary
D3593,084-355815957-4,31.6,67.0,17.0,80.0,True,199.0,358.2,,Indoor Lighting,Dimond Lighting,Helianthus Floor Lamp,,,,,,,,,,2.0,CHN,,,,,,No,A19,,,,,,,"Aged Brass, White Marble",,,No,,,"METAL, MARBLE",1.0,,No,,,,,,,On-Off Foot Switch,,,,,,43.0,20.0,46.0,9.0,3.0,18.0,10.0,18.0,,,,,Modern / Contemporary
D3596,081-800803818-1,33.0,22.0,22.0,22.0,True,363.0,653.4,,Indoor Lighting,Dimond Lighting,Cash Stacked Pendant,"The Cash series Pendant merges high-fashion irony with sneaky glamour, like a Ballroom-Era showpiece run through a slick Transmodern filter. A stunning echelon of crisp glass hexagons says “witty Mid-Mod flair,” while soft White translucency and Antique Silver hardware project a dignified, almost formal aura.",,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,"Antique Silver, White Matte",,,,,,"Glass, Metal",8.0,,No,,,,,,,,UL,,60.0,,,27.0,26.0,24.0,26.0,,,,,,,,,Modern / Contemporary
D3597,081-800803819-8,60.0,29.0,29.0,26.0,True,566.0,1018.8,,Indoor Lighting,Dimond Lighting,Double Cash Stacked Pendant,"The Cash series Pendant merges high-fashion irony with sneaky glamour, like a Ballroom-Era showpiece run through a slick Transmodern filter. A stunning echelon of crisp glass hexagons says “witty Mid-Mod flair,” while soft White translucency and Antique Silver hardware project a dignified, almost formal aura.",,,,,,,,,2.0,CHN,,,,,,No,B11,,,,,,,"Antique Silver, White Matte",,,,,,"Glass, Metal",12.0,,No,,,,,,,,UL,,60.0,,,29.0,32.0,32.0,28.5,78.0,15.0,32.0,21.0,,,,,Modern / Contemporary
D3598,081-800803820-4,84.5,22.0,51.0,23.0,True,791.0,1423.8,,Indoor Lighting,Dimond Lighting,Triple Cash Stacked Pendant,"The Cash series Pendant merges high-fashion irony with sneaky glamour, like a Ballroom-Era showpiece run through a slick Transmodern filter. A stunning echelon of crisp glass hexagons says “witty Mid-Mod flair,” while soft White translucency and Antique Silver hardware project a dignified, almost formal aura.",,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,"Antique Silver, White Matte",,,,,,"Glass, Metal",14.0,,No,,,,,,,,UL,,60.0,,,35.0,59.0,30.0,26.0,,,,,,,,,Modern / Contemporary
D3599,081-800803821-1,13.0,14.0,36.0,14.0,True,427.0,768.6,,Indoor Lighting,Dimond Lighting,Bubble Bar Pendant,,,,,,,,,,1.0,CHN,,,,,,,G9,,,,,,,Silver Leaf,,,,,,"Glass, Metal",9.0,,No,,,,,,,,UL,,40.0,,,17.0,38.0,23.0,20.0,,,,,,,,,Modern / Contemporary
D3601,081-800803823-5,6.0,10.0,10.0,14.0,True,99.0,178.2,,Indoor Lighting,Dimond Lighting,Duke Single Pendant,"The Duke Pendant exemplifies the organic muse within Art Deco design stories, exchanging the exquisite symmetricality of a white rose for the machine-cut precision of a stacked-hex drive shaft. Merges three distinct yet harmonious Machine Age paradigms: Industrial Might, Glamorous Exoticism and Immaculate Precision. Stylish Bronze hardware.",,,,,,,,,1.0,CHN,,,,,,No,A19,,,,,,,"Oil Rubbed Bronze, White",,,,,,"Glass, Metal",1.0,,No,,,,,,,,UL,,60.0,,,15.0,16.0,12.0,12.0,,,,,,,,,Modern / Contemporary
