manufacturer_sku,ean13,system__creation__date,weight,length,width,height,cost_price,min_price,product__product_class__name,product__brand__name,product__title,product__description,product__bullets_0,product__bullets_1,product__bullets_2,product__bullets_3,product__bullets_4,product__bullets_5,product__bullets_6,product__multipack_quantity,product__country_of_origin__alpha_3,attrib__arm_height,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__designer,attrib__finish,attrib__kit,attrib__material,attrib__number_bulbs,attrib__outdoor_safe,attrib__pile_height,attrib__seat_height,attrib__switch_type,attrib__ul_certified,attrib__wattage,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product__styles
8011,810937080118,2015-07-07,8.0,17.5,17.5,28.0,552.0,368.0,Indoor Lighting,Dimond Lighting,Blue Thumb Print Glass,,,,,,,,,1.0,CHN,,No,A19,,66.0,,Blue,No,"Glass, Metal",1.0,No,,,,UL,100.0,,10.0,29.0,19.0,19.0,,,,,,,,,
10005,810937100052,2015-07-07,30.0,19.0,18.0,62.0,747.0,498.0,Indoor Lighting,Dimond Lighting,Diamond Cut Crystal Floor Lamp with Satin Nickel Base,,9-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,72.0,,Clear,No,Crystal,1.0,No,,,3-Way,UL,100.0,,41.0,60.0,14.0,29.0,,,,,,,,,
71050,843558140572,2015-10-05,149.9,18.0,70.0,81.0,1401.0,934.0,Furniture,Sterling,Penn Shelving Unit In Farmhouse Stain - Large,"Today's dynamic design themes often call for changing the size and function of a space by moving it around. Introducing our Penn Series Shelving Units: A unique retro-industrial aesthetic featuring stylish riveted metal brackets, slender bracer pins, and a warm antiqued finish; whose vintage-style casters, whether they're moved or not, add a hip and relevant feel.  Fill this one with LPs and shake up the home office.",,,,,,,,1.0,IDN,,,,,,,Farmhouse Stain,,Mahogany,,No,,,,,,,172.0,20.0,78.0,12.0,,,,,,,,,"Transitional,Urban,Industrial,ModernFarmhouse"
71051,843558140565,2015-10-05,119.0,18.0,45.0,81.0,1122.0,748.0,Furniture,Sterling,Penn Shelving Unit In Farmhouse Stain - Medium,"Today's dynamic design themes often call for changing the size and function of a space by moving it around. Introducing our Penn Series Shelving Units: A unique retro-industrial aesthetic featuring stylish riveted metal brackets, slender bracer pins, and a warm antiqued finish; whose vintage-style casters, whether they're moved or not, add a hip and relevant feel.  Fill this one with LPs and shake up the home office.",,,,,,,,1.0,IDN,,,,,,,Farmhouse Stain,,Mahogany,,No,,,,,,,141.0,20.0,78.0,12.0,,,,,,,,,"Transitional,Urban,Industrial,ModernFarmhouse"
71052,843558140558,2015-10-05,108.0,18.0,27.5,81.0,933.0,622.0,Furniture,Sterling,Penn Shelving Unit In Farmhouse Stain - Small,"Today's dynamic design themes often call for changing the size and function of a space by moving it around. Introducing our Penn Series Shelving Units: A unique retro-industrial aesthetic featuring stylish riveted metal brackets, slender bracer pins, and a warm antiqued finish; whose vintage-style casters, whether they're moved or not, add a hip and relevant feel.  Fill this one with LPs and shake up the home office.",,,,,,,,1.0,IDN,,,,,,,Farmhouse Stain,,Mahogany,,No,,,,,,,130.0,80.0,10.0,20.0,,,,,,,,,"Transitional,Urban,Industrial,ModernFarmhouse"
100005,804323000057,2014-10-09,,6.0,45.0,72.0,1947.0,1298.0,Wall Decor,GuildMaster,CARVED TRUMEAU MIRROR,Vintage White and Bouleau Blanc finish on hand-carved mirror frame with acanthus embellishments. Antiqued mirror.,Hand painted,,,,,,,1.0,IDN,,,,,,,"Bouleau Blanc, Vintage White",,Mahogany,,No,,,,,,,102.0,76.0,41.0,11.0,,,,,,,,,"Traditional,FrenchCountry,Victorian"
102501,804323015258,2014-10-09,,8.0,60.0,60.0,2397.0,1598.0,Wall Decor,GuildMaster,60-Inch Square Mirror,"Aged tin and wood mirror. Antiqued tin finish with aged and distressed shades of gray, cream, white, and stain. Antiqued beveled mirror.",,,,,,,,1.0,IDN,,,,,,,Antique Metal,,Tin,,No,,,,,,,55.2,65.0,65.0,12.0,,,,,,,,,"Traditional,Boho,Retro"
102506,804323025067,2014-10-09,,2.0,40.0,40.0,897.0,598.0,Wall Decor,GuildMaster,OSBOURNE MIRROR IN MUTED SILVER LEAF,Heritage Oyster finish on hand-carved circle mirror with chain link details. Antiqued beveled mirror.,,,,,,,,1.0,IDN,,,,,,,Heritage Oyster,,Mahogany,,No,,,,,,,40.0,43.8,43.0,6.5,,,,,,,,,"Transitional,Scandinavian,Victorian"
102509,804323102508,2014-10-09,,2.0,52.0,48.0,1797.0,1198.0,Wall Decor,GuildMaster,ORNATE HERITAGE MIRROR,Heritage Grey Stain with Champagne finished trim on solid wood mirror frame. Antiqued leaded and beveled mirror panes.,Hand painted,,,,,,,1.0,IDN,,,,,,,"Heritage Grey Stain, Champagne",,Mahogany,,No,,,,,,,78.0,55.0,52.0,7.0,,,,,,,,,"Traditional,FrenchCountry,Country,Cottage"
103002,804323015266,2014-10-09,,1.0,38.0,48.0,747.0,498.0,Wall Decor,GuildMaster,MANSE METAL MIRROR,Aged and antiqued gold finish on hand-tooled oval metal frame mirror. Clear mirror.,Hand painted,,,,,,,1.0,IDN,,,,,,,Antique Gold,,Metal,,No,,,,,,,36.0,41.0,52.0,5.0,,,,,,,,,"Transitional,Luxe,Glam,Mid-CenturyModern"
103003,804323103,2014-10-09,,2.0,30.0,45.0,837.0,558.0,Wall Decor,GuildMaster,SOMERSET MIRROR,Manor White Wash and soft gold finished on carved wood mirror. Clear mirror.,Hand painted,,,,,,,1.0,IDN,,,,,,,"Gold, Manor Whitewash",,Mahogany,,No,,,,,,,18.0,34.0,50.0,2.5,,,,,,,,,"Transitional,Luxe,Glam,FrenchCountry"
103007,804323030078,2014-10-09,,3.0,27.0,36.0,597.0,398.0,Wall Decor,GuildMaster,BELLE GROVE MIRROR,Reclaimed tin mirror finished in distressed Crackle White. Clear mirror.,,,,,,,,1.0,IDN,,,,,,,Crackle White,,Tin,,No,,,,,,,15.6,30.0,40.0,5.0,,,,,,,,,"Traditional,ModernFarmhouse,FrenchCountry"
103202,804323049124,2014-10-09,,2.0,36.0,78.0,1497.0,998.0,Wall Decor,GuildMaster,SOHO FLOOR MIRROR,Manor Graystone finish on wood floor mirror. Clear mirror.,Hand painted,,,,,,,1.0,IDN,,,,,,,Manor Greystone,,Wood,,No,,,,,,,82.0,84.0,6.0,41.0,,,,,,,,,"Transitional,Mid-CenturyModern,ArtDeco"
103504,804323049605,2014-10-09,,2.0,37.0,37.0,897.0,598.0,Wall Decor,GuildMaster,CURLED MIRROR,Manor Graystone finish on hand-carved mahogany mirror. Antiqued beveled mirror.,,,,,,,,1.0,IDN,,,,,,,Manor Greystone,,Mahogany,,No,,,,,,,28.5,40.0,40.0,3.0,,,,,,,,,"Transitional,Mid-CenturyModern,Luxe,Glam"
104004,804323040046,2014-10-09,,2.0,30.0,45.0,837.0,558.0,Wall Decor,GuildMaster,SOMERSET HERITAGE MIRROR,Oval mirror framed in Heritage Grey Stain finish with Champagne finish accents.,Hand painted,,,,,,,1.0,IDN,,,,,,,"Champagne, Heritage Grey",,Mahogany,,No,,,,,,,27.0,49.0,34.0,6.0,,,,,,,,,"Transitional,Luxe,Glam,FrenchCountry"
104006,80432304006,2014-10-09,,2.0,35.0,63.0,1077.0,718.0,Wall Decor,GuildMaster,VINCENT MIRROR,A herd of Scandinavian Deer grace the top frame on this mirror finished in Crossroads Rosa.,,,,,,,,1.0,IDN,,,,,,,"Crossroads Rosa, Hand-Painted",,Mahogany,,No,,,,,,,55.0,38.0,66.0,7.0,,,,,,,,,"Traditional,FrenchCountry,ModernFarmhouse"
104506,804323045065,2014-10-09,,2.0,40.0,47.0,1347.0,898.0,Wall Decor,GuildMaster,MANOR MEDALLION MIRROR,Classic arched mirror with incised mirror panes in METAL FRAME.,Hand painted,,,,,,,1.0,IDN,,,,,,,Antique Metal,,Metal,,No,,,,,,,46.0,55.0,46.0,7.0,,,,,,,,,"Traditional,FrenchCountry,VintageCharm"
104510,804323045102,2014-10-09,,2.0,35.0,63.0,1077.0,718.0,Wall Decor,GuildMaster,WATERFRONT VINCENT MIRROR,Waterfront Sea Plant finish on mahogany mirror frame. Waterfront Grey Stain trims and hand painted seascape art.,Hand painted,,,,,,,1.0,IDN,,,,,,,"Hand-Painted, Waterfront Grey Stain, Waterfront Sea Plant",,Mahogany,,No,,,,,,,55.0,38.0,66.0,7.0,,,,,,,,,
105001,804343189299,2015-04-07,,6.0,38.0,72.0,1947.0,1298.0,Wall Decor,GuildMaster,Carved Trumeau Mirror,Euro Plaster finish on hand-carved mirror frame with acanthus embellishments. Antiqued mirror.,,,,,,,,1.0,IDN,,,,,,,Euro Plaster,,"Solid Mahogany, Glass",,No,,,,,,,110.0,75.0,42.0,11.5,,,,,,,,,"Traditional,Victorian,FrenchCountry"
105013,804343190486,2015-04-07,,1.0,28.0,52.0,897.0,598.0,Wall Decor,GuildMaster,Artifacts Architectural Floor Mirror,Natural aged metal finish on tin covered wood floor mirror.,,,,,,,,1.0,IDN,,,,,,,Aged White,,"Solid Mahogany, Glass, Tin",,No,,,,,,,42.0,35.0,56.0,6.0,,,,,,,,,"Traditional,Retro,FrenchCountry"
105016,804343190516,2015-04-07,,2.0,30.0,60.5,1197.0,798.0,Wall Decor,GuildMaster,Vintage Carved Acanthus Mirror,Champagne Gold finish on carved acanthus mirror.,,,,,,,,1.0,IDN,,,,,,,Champagne,,"Solid Mahogany, Glass",,No,,,,,,,50.0,64.0,5.0,32.0,,,,,,,,,"Traditional,Victorian,Luxe,Glam"
105017,804343190523,2015-04-07,,3.0,37.5,56.5,1197.0,798.0,Wall Decor,GuildMaster,Oval Carved Mirror,Grain de Bois Blue Slate finish on carved wood mirror.,,,,,,,,1.0,IDN,,,,,,,Grain De Bois Blue Slate,,"Solid Mahogany, Glass",,No,,,,,,,50.0,62.0,6.0,40.0,,,,,,,,,"Traditional,Boho,FrenchCountry"
105018,80434319053,2015-04-07,,2.0,38.0,60.0,1197.0,798.0,Wall Decor,GuildMaster,Champagne Mirror,Antique Smoke finish on carved frame with Front Porch White White finish on back panel.,,,,,,,,1.0,IDN,,,,,,,"Antique Smoke, Front Porch White",,"Solid Mahogany, Glass",,No,,,,,,,58.0,42.0,65.0,6.5,,,,,,,,,"Traditional,Scandinavian,VintageCharm"
105031,804343190615,2015-04-07,,4.0,48.0,72.0,1647.0,1098.0,Wall Decor,GuildMaster,Stamped Metal Floor Mirror,Rustic painted and aged Crossroads Brown finish on stamped metal floor mirror.,,,,,,,,1.0,IDN,,,,,,,Crossroads Brown,,"Glass, Metal, Tin",,No,,,,,,,86.0,74.0,52.0,8.0,,,,,,,,,"Traditional,Retro,Country,Cottage"
105501,804343186601,2014-10-09,,2.0,40.0,49.0,1347.0,898.0,Wall Decor,GuildMaster,GILDED ARCH MIRROR,Style is a keen reflection of the exhibitor. The Gilded Arch Wall Mirror’s graceful arciform silhouette is embellished with elegant medallions and an array of richly gilded glazing bars. Generously scaled. Gorgeous Antiqued Metal finish.,,,,,,,,1.0,IDN,,,,,,,Antique Metal,,Metal,,No,,,,,,,41.0,54.0,6.0,43.0,,,,,,,,,"Transitional,FrenchCountry,ModernFarmhouse"
106010,804343186618,2014-10-09,,2.0,30.0,60.0,1047.0,698.0,Wall Decor,GuildMaster,TWO CONNECTION MIRROR,Signature Antique White finish on ornately hand-carved wooden mirror. Clear mirror.,Inner Bottom Mirror Measures 48x24,Hand painted,,,,,,1.0,IDN,,,,,,,Signature Antique White,,Mahogany,,No,,,,,,,52.0,33.0,65.0,6.0,,,,,,,,,"Traditional,Victorian,Luxe,Glam"
